CUST_NO,VTG,AGETIER,EDUCATION_DESC,GENDER,EOP_BAL_CS,MTH_AVG_BAL_CS,MTH6_AVG_BAL_CS,DELTA_FUNDING_BALANCE,MTH_AVG_BAL_IDR,MTH6_AVG_BAL_IDR,DELTA_FUNDING_BALANCE_TD,AVG_CREDIT_3MTH,SUM_CREDIT_LESS_3MIL,SUM_CREDIT_ZERO,DELTA_CREDIT_MUTATION,DELTA_DEBIT_MUTATION,AVG_DEBIT_3MTH,CUST_SEGMENT_AVG,DELTA_CUST_SEG,L_COLL,BAD_TAG
5343898.4,6-10 th,31-40 th,SMA,P,7841123.51,6086621.27,4227117.632,6478416.607,6086621.27,4227117.632,6478416.607,6424820.35,1,0,-6419104.93,1588818.587,5059077.623,4,0,0,0
5350321.2,6-10 th,21-30 th,SMA,P,5647159.01,1034243.57,1153062.762,-885444.7833,1034243.57,1153062.762,-885444.7833,7485045.42,0,0,-3743045.42,-5055879.627,7728501.667,5,1,0,0
5334657.2,6-10 th,21-30 th,SMA,L,20381695.98,20432413.26,18104843.92,-8625301.77,20432413.26,18104843.92,-8625301.77,13084267.47,0,0,81039.96667,2520140.873,15524029.29,4,0,1,0
5442915,6-10 th,21-30 th,UNIVERSITAS,P,11682928.63,9319232.19,10762029.09,3367023.627,9319232.19,10762029.09,3367023.627,14876553.6,0,0,-3670652.457,-943842.49,14644995.76,4,0,0,0
5386860.4,6-10 th,21-30 th,AKADEMI,L,322439.61,256961.4,619787.37,-310414.6367,256961.4,619787.37,-310414.6367,7706206.66,0,0,-4255431.66,-4611781.963,8070333.333,5,0,0,0
5387158,6-10 th,31-40 th,AKADEMI,L,680927.03,2444960.06,3916567.942,-4017873.517,2444960.06,3916567.942,-4017873.517,38610040.28,1,0,-25972040.28,-25519870,38992468,5,0,0,0
5396754.2,6-10 th,21-30 th,UNIVERSITAS,P,34012231.5,27014470.74,23717746.64,-4891273.783,27014470.74,23717746.64,-4891273.783,23187770.3,0,0,2850594.78,4602166.39,19757310.27,4,0,0,0
5518707.4,6-10 th,21-30 th,SMA,P,30520,83339.03,232823.5083,-7004.87,83339.03,232823.5083,-7004.87,8659954,0,0,218996,-261506.3333,9647006.333,5,0,0,0
5580207.4,6-10 th,31-40 th,UNIVERSITAS,P,1016810.82,828758.88,2477130.483,3135303.703,828758.88,2477130.483,3135303.703,6337243.817,0,0,-84334.10667,9993627.18,6386395,5,0,0,0
5588319.2,6-10 th,21-30 th,SMA,P,42891.75,54504.65,167383.7183,211958.71,54504.65,167383.7183,211958.71,4873500,0,0,6134500,8064933.333,4880066.667,5,0,0,1
5560163.8,6-10 th,21-30 th,SMA,L,31070924.08,26060727.81,19069456.92,-9871604.417,26060727.81,19069456.92,-9871604.417,9136992.413,0,0,-814337.4633,86027.27667,5583973.973,4,0,0,0
